time_interval,rate_in,limit,truck,t_react,automax
283.2000,1.1072,1.0000,0.0000,0.2000,0.2242
281.9000,1.1072,1.0000,0.0000,0.2000,1.6602
283.2500,1.1072,1.0000,0.0000,0.2500,0.8695
307.9000,1.1072,1.0000,1.0000,0.2000,-0.0887
271.3500,1.1072,1.0000,0.0000,0.2000,4.5062
271.9500,1.1072,1.0000,0.0000,0.2000,1.0519
275.0500,1.1072,1.0000,0.0000,0.2000,1.3371
294.4000,1.1072,1.0000,0.0000,0.2500,2.4535
276.8500,1.1072,1.0000,0.0000,0.2000,0.1577
282.0000,1.1072,1.0000,0.0000,0.2000,0.0543
276.8000,1.1072,1.0000,0.0000,0.2000,0.6833
278.0000,1.1072,1.0000,0.0000,0.2000,0.9053
277.6000,1.1072,1.0000,0.0000,0.2000,0.7977
276.7000,1.1072,1.0000,0.0000,0.2000,0.9834
290.1000,1.1072,1.0000,0.0000,0.2500,1.5342
290.9000,1.1072,1.0000,0.0000,0.2000,3.7976
276.2000,1.1072,1.0000,0.0000,0.2000,0.7427
275.8000,1.1072,1.0000,0.0000,0.2000,0.1753
275.5000,1.1072,1.0000,0.0000,0.2000,0.9528
275.4000,1.1072,1.0000,0.0000,0.2000,1.1833
275.2500,1.1072,1.0000,0.0000,0.2000,1.7333
279.2500,1.1072,1.0000,0.0000,0.2000,1.1177
270.2500,1.1072,1.0000,0.0000,0.2000,4.2026
273.4000,1.1072,1.0000,0.0000,0.2000,1.4042
275.9500,1.1072,1.0000,0.0000,0.2000,0.1405
274.3500,1.1072,1.0000,0.0000,0.2500,0.1985
275.8000,1.1072,1.0000,0.0000,0.2000,0.8126
277.8000,1.1072,1.0000,0.0000,0.1500,0.7803
279.5500,1.1072,1.0000,0.0000,0.2000,0.2442
287.1000,1.1072,1.0000,0.0000,0.2000,-0.0001
279.5000,1.1072,1.0000,0.0000,0.2500,0.0386
268.9000,1.1072,1.0000,0.0000,0.2000,2.8674
280.0500,1.1072,1.0000,0.0000,0.2500,0.7482
271.9500,1.1072,1.0000,0.0000,0.2000,1.2791
271.7500,1.1072,1.0000,0.0000,0.2500,0.6374
275.2500,1.1072,1.0000,0.0000,0.2000,2.3524
277.8000,1.1072,1.0000,0.0000,0.1500,1.7862
270.9500,1.1072,1.0000,0.0000,0.1500,2.7799
264.6500,1.1072,1.0000,0.0000,0.2000,2.8059
269.0500,1.1072,1.0000,0.0000,0.2000,0.3971
276.2500,1.1072,1.0000,0.0000,0.2000,1.0647
275.2500,1.1072,1.0000,0.0000,0.2000,-0.3493
275.9000,1.1072,1.0000,0.0000,0.2000,0.4707
275.5000,1.1072,1.0000,0.0000,0.2000,1.4765
268.9500,1.1072,1.0000,0.0000,0.2000,0.6859
266.2000,1.1072,1.0000,0.0000,0.2000,1.5576
268.3000,1.1072,1.0000,0.0000,0.2000,0.6712
279.8500,1.1072,1.0000,0.0000,0.2000,-0.2042
269.1000,1.1072,1.0000,0.0000,0.2000,3.4653
272.7000,1.1072,1.0000,0.0000,0.2000,0.5678
263.3000,1.1072,1.0000,0.0000,0.1500,0.8258
279.4500,1.1072,1.0000,0.0000,0.2000,0.8742
280.3000,1.1072,1.0000,0.0000,0.2000,0.1608
269.4500,1.1072,1.0000,0.0000,0.2000,0.1412
279.0500,1.1072,1.0000,0.0000,0.2000,0.4156
283.6500,1.1072,1.0000,0.0000,0.2500,2.3989
279.0500,1.1072,1.0000,0.0000,0.2000,1.0128
284.2000,1.1072,1.0000,0.0000,0.2000,1.1554
270.8000,1.1072,1.0000,0.0000,0.2000,0.4115
278.6000,1.1072,1.0000,0.0000,0.2000,1.6371
266.7000,1.1072,1.0000,0.0000,0.2000,0.4172
278.2000,1.1072,1.0000,0.0000,0.2000,5.2938
267.1000,1.1072,1.0000,0.0000,0.2000,1.0309
277.9500,1.1072,1.0000,0.0000,0.2000,0.0047
276.7500,1.1072,1.0000,0.0000,0.2000,-0.1201
280.0000,1.1072,1.0000,0.0000,0.2000,0.3713
279.3500,1.1072,1.0000,0.0000,0.2000,-0.5663
280.0000,1.1072,1.0000,0.0000,0.2500,0.9190
275.5000,1.1072,1.0000,0.0000,0.2000,-0.1826
279.0000,1.1072,1.0000,0.0000,0.2500,0.9845
281.8500,1.1072,1.0000,0.0000,0.2500,0.6889
282.6500,1.1072,1.0000,0.0000,0.2500,1.6070
268.2000,1.1072,1.0000,0.0000,0.2000,1.8337
277.1500,1.1072,1.0000,0.0000,0.2000,0.5054
281.8000,1.1072,1.0000,0.0000,0.2000,0.4381
270.6500,1.1072,1.0000,0.0000,0.2000,0.6450
277.0000,1.1072,1.0000,0.0000,0.2000,1.0105
282.5500,1.1072,1.0000,0.0000,0.2000,0.1786
270.0500,1.1072,1.0000,0.0000,0.2000,0.3035
275.6500,1.1072,1.0000,0.0000,0.2000,0.4748
275.2000,1.1072,1.0000,0.0000,0.2000,0.3161
273.9000,1.1072,1.0000,0.0000,0.2000,0.3482
275.1000,1.1072,1.0000,0.0000,0.2500,1.0139
