time_interval,rate_in,limit,truck,t_react,automax
300.8500,1.5201,1.0000,0.0000,0.2000,0.7038
295.1500,1.5201,1.0000,0.0000,0.1500,4.8148
290.4000,1.5201,1.0000,0.0000,0.2000,0.1856
303.2500,1.5201,1.0000,0.0000,0.2500,0.4593
314.5500,1.5201,1.0000,0.0000,0.2000,1.0680
293.9000,1.5201,1.0000,0.0000,0.2500,2.1361
293.2500,1.5201,1.0000,0.0000,0.1500,1.3363
308.6000,1.5201,1.0000,0.0000,0.2000,1.1542
294.7500,1.5201,1.0000,0.0000,0.2000,0.1051
290.7500,1.5201,1.0000,0.0000,0.2000,0.6317
315.4000,1.5201,1.0000,0.0000,0.2000,0.2244
294.5000,1.5201,1.0000,0.0000,0.2500,1.2455
300.3000,1.5201,1.0000,0.0000,0.2000,0.9802
310.1500,1.5201,1.0000,0.0000,0.2000,0.3552
294.4000,1.5201,1.0000,0.0000,0.2000,0.2814
294.1500,1.5201,1.0000,0.0000,0.2000,0.8921
298.0000,1.5201,1.0000,0.0000,0.2000,0.9206
289.7000,1.5201,1.0000,0.0000,0.2000,0.6174
313.0000,1.5201,1.0000,0.0000,0.2000,0.6626
295.5000,1.5201,1.0000,0.0000,0.2000,-0.1813
312.0000,1.5201,1.0000,0.0000,0.2000,0.0721
296.3500,1.5201,1.0000,0.0000,0.2000,1.1759
290.3000,1.5201,1.0000,0.0000,0.2000,-0.2843
299.4500,1.5201,1.0000,0.0000,0.2000,0.4969
311.7000,1.5201,1.0000,0.0000,0.2000,0.3918
293.6000,1.5201,1.0000,0.0000,0.2000,1.3821
293.4000,1.5201,1.0000,0.0000,0.2000,-0.0407
303.3500,1.5201,1.0000,0.0000,0.2000,1.0303
293.2500,1.5201,1.0000,0.0000,0.2000,1.7804
289.6500,1.5201,1.0000,0.0000,0.2000,1.1202
309.6000,1.5201,1.0000,0.0000,0.2500,1.2972
302.7000,1.5201,1.0000,0.0000,0.2000,1.1106
293.0500,1.5201,1.0000,0.0000,0.2000,1.4964
301.7500,1.5201,1.0000,0.0000,0.1500,0.3128
299.1000,1.5201,1.0000,0.0000,0.2000,0.5511
287.0000,1.5201,1.0000,0.0000,0.2000,4.1415
292.6500,1.5201,1.0000,0.0000,0.2000,0.3967
296.2000,1.5201,1.0000,0.0000,0.2000,1.5605
288.8000,1.5201,1.0000,0.0000,0.2000,1.0140
304.4000,1.5201,1.0000,0.0000,0.2000,0.2462
292.4500,1.5201,1.0000,0.0000,0.2000,2.5090
288.7500,1.5201,1.0000,0.0000,0.2000,6.1867
300.6000,1.5201,1.0000,0.0000,0.2000,1.0926
287.0000,1.5201,1.0000,0.0000,0.2500,1.3273
297.0500,1.5201,1.0000,0.0000,0.2000,0.1435
297.0500,1.5201,1.0000,0.0000,0.2000,1.3579
300.9500,1.5201,1.0000,0.0000,0.2000,0.0233
279.0000,1.5201,1.0000,0.0000,0.2000,1.8947
300.7500,1.5201,1.0000,0.0000,0.2000,1.1985
287.4500,1.5201,1.0000,0.0000,0.2000,1.7800
