time_interval,rate_in,limit,truck,t_react,automax
275.2000,1.1099,1.0000,0.0000,0.2000,0.5047
275.2000,1.1099,1.0000,0.0000,0.2000,0.6870
276.9500,1.1099,1.0000,0.0000,0.2000,0.0458
276.1000,1.1099,1.0000,0.0000,0.2000,0.3895
276.9000,1.1099,1.0000,0.0000,0.2000,0.7704
278.6000,1.1099,1.0000,0.0000,0.2000,1.0939
276.8500,1.1099,1.0000,0.0000,0.2000,0.8693
283.2000,1.1099,1.0000,0.0000,0.2000,0.9717
271.5500,1.1099,1.0000,0.0000,0.2500,1.6262
278.4000,1.1099,1.0000,0.0000,0.2000,0.5194
282.8000,1.1099,1.0000,0.0000,0.2000,0.5781
275.9500,1.1099,1.0000,0.0000,0.2000,0.6452
283.7500,1.1099,1.0000,0.0000,0.2000,-0.2032
281.4000,1.1099,1.0000,0.0000,0.2000,0.7818
270.1000,1.1099,1.0000,0.0000,0.2000,2.4655
282.9000,1.1099,1.0000,0.0000,0.2000,0.5343
274.8000,1.1099,1.0000,0.0000,0.2000,1.5429
269.8000,1.1099,1.0000,0.0000,0.2000,1.1691
282.1500,1.1099,1.0000,0.0000,0.2000,1.9346
270.3500,1.1099,1.0000,0.0000,0.2000,0.4742
282.3000,1.1099,1.0000,0.0000,0.2000,0.5105
270.3000,1.1099,1.0000,0.0000,0.2000,2.5267
279.7000,1.1099,1.0000,0.0000,0.2500,2.6120
266.4500,1.1099,1.0000,0.0000,0.2000,2.9620
278.3500,1.1099,1.0000,0.0000,0.2000,0.4246
279.2000,1.1099,1.0000,0.0000,0.2500,0.5554
267.5500,1.1099,1.0000,0.0000,0.3000,0.8836
280.7000,1.1099,1.0000,0.0000,0.2000,0.1586
269.0500,1.1099,1.0000,0.0000,0.2000,2.0616
264.3500,1.1099,1.0000,0.0000,0.2000,2.8892
272.3500,1.1099,1.0000,0.0000,0.2500,-0.0398
266.7500,1.1099,1.0000,0.0000,0.2500,2.7176
277.7000,1.1099,1.0000,0.0000,0.2000,0.6247
277.0000,1.1099,1.0000,0.0000,0.1500,-0.1739
263.1000,1.1099,1.0000,0.0000,0.2000,4.6131
276.7500,1.1099,1.0000,0.0000,0.2000,0.8598
269.0500,1.1099,1.0000,0.0000,0.2000,0.1038
263.3000,1.1099,1.0000,0.0000,0.2000,1.0193
274.0000,1.1099,1.0000,0.0000,0.2000,-0.1192
267.8000,1.1099,1.0000,0.0000,0.2000,0.5728
276.2000,1.1099,1.0000,0.0000,0.2000,-0.1673
266.8500,1.1099,1.0000,0.0000,0.2000,1.0509
273.4500,1.1099,1.0000,0.0000,0.2000,0.9922
266.1500,1.1099,1.0000,0.0000,0.2000,0.6577
274.5000,1.1099,1.0000,0.0000,0.2000,-0.4554
276.5500,1.1099,1.0000,0.0000,0.2000,-0.6904
268.7000,1.1099,1.0000,0.0000,0.2000,0.3871
271.6500,1.1099,1.0000,1.0000,0.2000,0.0312
276.5000,1.1099,1.0000,0.0000,0.2000,0.3573
274.1000,1.1099,1.0000,0.0000,0.2500,-0.2255
271.3500,1.1099,1.0000,0.0000,0.2000,1.3339
273.8000,1.1099,1.0000,0.0000,0.2000,0.4927
274.3000,1.1099,1.0000,0.0000,0.2000,-0.3071
274.9000,1.1099,1.0000,0.0000,0.2000,0.3720
273.0000,1.1099,1.0000,0.0000,0.1500,1.9296
272.5500,1.1099,1.0000,0.0000,0.2500,0.4927
274.9500,1.1099,1.0000,0.0000,0.2000,0.9454
276.1500,1.1099,1.0000,0.0000,0.2000,-0.3801
275.0000,1.1099,1.0000,0.0000,0.2000,0.5434
275.1500,1.1099,1.0000,0.0000,0.2000,-0.0772
274.9000,1.1099,1.0000,0.0000,0.2000,0.8584
274.7500,1.1099,1.0000,0.0000,0.2000,2.7811
276.1000,1.1099,1.0000,0.0000,0.2000,0.0400
278.8000,1.1099,1.0000,0.0000,0.2000,-0.6274
269.0500,1.1099,1.0000,0.0000,0.2000,1.7527
276.1000,1.1099,1.0000,0.0000,0.2000,2.6054
278.7000,1.1099,1.0000,0.0000,0.2000,2.6434
276.1000,1.1099,1.0000,0.0000,0.2000,2.5621
271.0000,1.1099,1.0000,0.0000,0.2000,0.6673
276.0500,1.1099,1.0000,0.0000,0.2500,2.3653
270.4500,1.1099,1.0000,0.0000,0.3000,1.1790
266.4500,1.1099,1.0000,0.0000,0.2000,1.7223
275.5500,1.1099,1.0000,0.0000,0.2000,0.7222
274.3500,1.1099,1.0000,0.0000,0.2000,0.2056
275.4000,1.1099,1.0000,0.0000,0.2000,0.5272
270.4500,1.1099,1.0000,0.0000,0.2000,1.2068
278.8000,1.1099,1.0000,0.0000,0.2000,1.8093
274.8500,1.1099,1.0000,0.0000,0.2500,0.3923
273.8000,1.1099,1.0000,0.0000,0.2000,1.3018
270.8500,1.1099,1.0000,0.0000,0.2000,1.0684
269.3000,1.1099,1.0000,0.0000,0.2000,0.8986
274.5000,1.1099,1.0000,0.0000,0.2000,0.4663
273.8000,1.1099,1.0000,0.0000,0.2000,0.2345
273.9500,1.1099,1.0000,0.0000,0.2000,1.1109
270.1000,1.1099,1.0000,0.0000,0.2000,0.7591
273.7000,1.1099,1.0000,0.0000,0.2000,1.4184
267.4000,1.1099,1.0000,0.0000,0.2000,4.9786
267.6500,1.1099,1.0000,0.0000,0.2000,2.8208
273.4000,1.1099,1.0000,0.0000,0.1500,0.7748
274.5000,1.1099,1.0000,0.0000,0.2500,0.9186
277.8500,1.1099,1.0000,0.0000,0.2000,-0.3101
270.6500,1.1099,1.0000,0.0000,0.1500,0.3778
272.6500,1.1099,1.0000,0.0000,0.2000,1.3215
273.5500,1.1099,1.0000,0.0000,0.2000,0.8856
272.9000,1.1099,1.0000,0.0000,0.1500,0.0190
268.7500,1.1099,1.0000,0.0000,0.2000,1.7436
268.6500,1.1099,1.0000,0.0000,0.2000,2.5392
277.2000,1.1099,1.0000,1.0000,0.2000,0.7942
272.8500,1.1099,1.0000,0.0000,0.2000,0.2870
262.5500,1.1099,1.0000,0.0000,0.3000,1.3049
266.5500,1.1099,1.0000,0.0000,0.2000,0.4157
267.3500,1.1099,1.0000,0.0000,0.2000,0.2908
271.0000,1.1099,1.0000,0.0000,0.2000,1.1198
258.8000,1.1099,1.0000,0.0000,0.2000,2.5518
268.9000,1.1099,1.0000,0.0000,0.2000,0.2467
266.8500,1.1099,1.0000,0.0000,0.2000,1.9309
275.6000,1.1099,1.0000,0.0000,0.2000,0.1056
269.1500,1.1099,1.0000,0.0000,0.2000,0.8973
270.3500,1.1099,1.0000,0.0000,0.2000,2.4819
279.3500,1.1099,1.0000,0.0000,0.2000,0.0367
270.6000,1.1099,1.0000,0.0000,0.2000,0.2799
272.9500,1.1099,1.0000,0.0000,0.2500,0.7862
273.0000,1.1099,1.0000,0.0000,0.2000,2.9631
269.1000,1.1099,1.0000,0.0000,0.1500,3.9941
277.8500,1.1099,1.0000,0.0000,0.2000,-0.3465
271.9000,1.1099,1.0000,0.0000,0.2000,1.6164
270.6500,1.1099,1.0000,0.0000,0.2000,0.7345
266.5000,1.1099,1.0000,0.0000,0.1500,1.6501
275.7000,1.1099,1.0000,0.0000,0.2000,0.1140
272.6000,1.1099,1.0000,0.0000,0.2000,0.8080
265.8500,1.1099,1.0000,0.0000,0.2000,1.1565
269.0500,1.1099,1.0000,0.0000,0.2000,0.6717
265.8000,1.1099,1.0000,0.0000,0.2000,1.5378
276.7000,1.1099,1.0000,1.0000,0.2000,2.2601
276.1500,1.1099,1.0000,0.0000,0.2000,0.2952
275.2500,1.1099,1.0000,0.0000,0.2000,2.5348
268.6000,1.1099,1.0000,0.0000,0.2500,0.3254
268.5500,1.1099,1.0000,0.0000,0.2000,0.7616
268.6500,1.1099,1.0000,0.0000,0.2000,1.3614
273.7500,1.1099,1.0000,0.0000,0.3000,1.4901
269.9500,1.1099,1.0000,0.0000,0.2000,0.2216
268.9000,1.1099,1.0000,0.0000,0.2000,2.7835
