time_interval,rate_in,limit,truck,t_react,automax
397.9000,1.9367,1.0000,0.0000,0.1500,0.5430
418.9500,1.9367,1.0000,0.0000,0.2000,3.3028
342.1500,1.9367,1.0000,0.0000,0.2000,0.3580
342.3000,1.9367,1.0000,0.0000,0.2000,0.3794
342.4500,1.9367,1.0000,0.0000,0.2000,1.2790
322.4500,1.9367,1.0000,0.0000,0.2000,1.3007
349.8500,1.9367,1.0000,0.0000,0.2000,-0.0533
395.4000,1.9367,1.0000,0.0000,0.2000,2.1899
322.3500,1.9367,1.0000,0.0000,0.2000,0.6564
342.5500,1.9367,1.0000,0.0000,0.2000,1.1933
322.3500,1.9367,1.0000,0.0000,0.2000,0.8100
397.2000,1.9367,1.0000,0.0000,0.1500,1.7380
325.0000,1.9367,1.0000,0.0000,0.2000,2.6212
363.2500,1.9367,1.0000,0.0000,0.2500,-0.2746
328.8500,1.9367,1.0000,0.0000,0.2500,-0.1758
326.8500,1.9367,1.0000,0.0000,0.2000,1.8830
363.3000,1.9367,1.0000,0.0000,0.2000,1.4236
415.6500,1.9367,1.0000,0.0000,0.2000,1.3916
329.5000,1.9367,1.0000,0.0000,0.2000,-0.4635
396.4000,1.9367,1.0000,0.0000,0.2000,0.4803
363.3500,1.9367,1.0000,0.0000,0.2000,-0.0370
350.2500,1.9367,1.0000,0.0000,0.2500,0.2419
402.8000,1.9367,1.0000,0.0000,0.2000,6.3236
324.3000,1.9367,1.0000,0.0000,0.2000,-0.2481
414.6000,1.9367,1.0000,0.0000,0.2000,0.5378
363.4000,1.9367,1.0000,0.0000,0.2000,2.7331
349.3000,1.9367,1.0000,0.0000,0.2000,0.0063
413.5000,1.9367,1.0000,0.0000,0.2000,2.3471
363.4500,1.9367,1.0000,0.0000,0.2000,1.2211
409.9000,1.9367,1.0000,0.0000,0.2000,1.2928
352.7000,1.9367,1.0000,0.0000,0.2000,0.5570
363.5000,1.9367,1.0000,0.0000,0.2000,1.0607
366.4000,1.9367,1.0000,0.0000,0.2000,0.7316
353.5500,1.9367,1.0000,0.0000,0.2000,2.0653
364.6500,1.9367,1.0000,0.0000,0.2000,2.3720
361.9000,1.9367,1.0000,0.0000,0.2000,1.9199
335.0000,1.9367,1.0000,0.0000,0.2000,0.4321
409.2500,1.9367,1.0000,1.0000,0.2000,0.8407
362.0000,1.9367,1.0000,0.0000,0.2000,0.8885
399.9500,1.9367,1.0000,0.0000,0.2000,3.8614
325.5000,1.9367,1.0000,0.0000,0.2000,1.2840
356.1500,1.9367,1.0000,0.0000,0.1500,0.0807
360.5000,1.9367,1.0000,0.0000,0.1500,0.0609
407.9500,1.9367,1.0000,0.0000,0.1500,1.8351
317.6500,1.9367,1.0000,0.0000,0.2000,2.3118
360.5500,1.9367,1.0000,0.0000,0.2000,0.6885
404.2500,1.9367,1.0000,0.0000,0.2000,0.8742
