time_interval,rate_in,limit,truck,t_react,automax
255.5000,1.1109,0.0000,0.0000,0.2000,2.0387
251.6500,1.1109,0.0000,0.0000,0.2000,0.5325
243.3500,1.1109,0.0000,0.0000,0.2000,0.5119
251.3500,1.1109,0.0000,0.0000,0.2000,-0.0688
245.0000,1.1109,0.0000,0.0000,0.2000,1.0009
246.0500,1.1109,0.0000,0.0000,0.2000,0.4940
244.8500,1.1109,0.0000,0.0000,0.2000,1.4603
247.1000,1.1109,0.0000,0.0000,0.2000,1.2401
250.0000,1.1109,0.0000,0.0000,0.2000,-0.4535
249.1500,1.1109,0.0000,0.0000,0.2000,-0.0984
247.9500,1.1109,0.0000,0.0000,0.2000,2.5574
249.6500,1.1109,0.0000,0.0000,0.2000,0.9428
241.9500,1.1109,0.0000,0.0000,0.2000,0.9427
249.5000,1.1109,0.0000,0.0000,0.2000,1.6697
245.6500,1.1109,0.0000,0.0000,0.2000,0.5721
249.1500,1.1109,0.0000,0.0000,0.2000,-0.0532
247.8500,1.1109,0.0000,0.0000,0.2000,0.0454
245.4500,1.1109,0.0000,0.0000,0.2500,3.3706
248.2000,1.1109,0.0000,0.0000,0.2000,0.0457
246.4500,1.1109,0.0000,0.0000,0.2000,2.4465
248.1000,1.1109,0.0000,0.0000,0.2000,0.4364
246.1500,1.1109,0.0000,0.0000,0.2500,1.1196
248.5500,1.1109,0.0000,0.0000,0.1500,0.8371
254.8000,1.1109,0.0000,0.0000,0.2000,1.2194
245.6000,1.1109,0.0000,0.0000,0.2000,1.3522
246.0500,1.1109,0.0000,0.0000,0.2500,2.0830
247.1500,1.1109,0.0000,0.0000,0.2000,0.2751
245.7000,1.1109,0.0000,0.0000,0.2000,0.6862
246.1000,1.1109,0.0000,0.0000,0.2000,1.2157
247.8000,1.1109,0.0000,0.0000,0.2000,-0.7726
246.8000,1.1109,0.0000,0.0000,0.2000,0.3575
247.8000,1.1109,0.0000,0.0000,0.1500,0.9691
243.3000,1.1109,0.0000,0.0000,0.2000,1.4410
249.0000,1.1109,0.0000,0.0000,0.1500,0.9829
249.3500,1.1109,0.0000,0.0000,0.2000,0.1439
243.0500,1.1109,0.0000,0.0000,0.2500,2.6525
252.2000,1.1109,0.0000,0.0000,0.1500,-0.1353
249.5500,1.1109,0.0000,0.0000,0.2000,-0.3840
242.8000,1.1109,0.0000,0.0000,0.2000,1.5793
248.5000,1.1109,0.0000,0.0000,0.2000,0.7106
245.8000,1.1109,0.0000,0.0000,0.2500,0.7605
244.9000,1.1109,0.0000,0.0000,0.2000,0.7121
240.7500,1.1109,0.0000,0.0000,0.2000,0.8863
240.6000,1.1109,0.0000,0.0000,0.2000,2.1035
264.3500,1.1109,0.0000,0.0000,0.2000,0.5667
265.3000,1.1109,0.0000,0.0000,0.3000,-0.0096
283.1000,1.1109,0.0000,1.0000,0.2000,0.1000
245.6500,1.1109,0.0000,0.0000,0.2000,1.4522
285.3000,1.1109,0.0000,0.0000,0.2000,3.6629
253.5000,1.1109,0.0000,0.0000,0.2000,0.5520
245.7000,1.1109,0.0000,0.0000,0.2000,-0.0595
274.6000,1.1109,0.0000,0.0000,0.2000,1.0689
246.5000,1.1109,0.0000,0.0000,0.2000,-0.2837
241.6000,1.1109,0.0000,0.0000,0.2500,1.2919
244.1000,1.1109,0.0000,0.0000,0.2000,0.0541
239.0000,1.1109,0.0000,0.0000,0.2000,4.3368
246.6000,1.1109,0.0000,0.0000,0.2500,3.6930
