time_interval,rate_in,limit,truck,t_react,automax
295.6500,1.2913,0.0000,0.0000,0.2000,1.9429
280.2000,1.2913,0.0000,0.0000,0.1500,0.5701
257.5000,1.2913,0.0000,0.0000,0.2000,1.4779
287.3000,1.2913,0.0000,0.0000,0.2000,1.5402
258.8000,1.2913,0.0000,0.0000,0.2000,1.4814
257.2500,1.2913,0.0000,0.0000,0.2000,2.1089
256.8500,1.2913,0.0000,0.0000,0.2000,1.9121
286.1000,1.2913,0.0000,0.0000,0.2000,0.4464
287.9000,1.2913,0.0000,0.0000,0.2000,1.1962
285.8500,1.2913,0.0000,0.0000,0.2000,0.2406
247.4000,1.2913,0.0000,0.0000,0.1500,0.3469
290.9000,1.2913,0.0000,0.0000,0.2000,4.0156
292.6500,1.2913,0.0000,0.0000,0.2500,0.3666
247.0000,1.2913,0.0000,0.0000,0.2000,-0.0375
249.5500,1.2913,0.0000,0.0000,0.2500,0.4058
271.6000,1.2913,0.0000,0.0000,0.2000,1.5532
289.0500,1.2913,0.0000,0.0000,0.2000,1.4368
242.8000,1.2913,0.0000,0.0000,0.2000,2.2235
286.1000,1.2913,0.0000,0.0000,0.2000,0.8466
243.8000,1.2913,0.0000,0.0000,0.2000,0.7173
286.8000,1.2913,0.0000,0.0000,0.2000,0.5442
288.9000,1.2913,0.0000,0.0000,0.2000,0.1599
248.9000,1.2913,0.0000,0.0000,0.2500,0.8449
248.8500,1.2913,0.0000,0.0000,0.2500,3.7277
285.0000,1.2913,0.0000,0.0000,0.1500,0.4246
283.0000,1.2913,0.0000,0.0000,0.2000,1.6319
276.3500,1.2913,0.0000,0.0000,0.2000,-0.0998
248.7500,1.2913,0.0000,0.0000,0.2000,0.2569
266.7500,1.2913,0.0000,0.0000,0.2000,-0.2510
284.1000,1.2913,0.0000,0.0000,0.2000,2.5485
284.6500,1.2913,0.0000,0.0000,0.2000,-0.6127
265.0000,1.2913,0.0000,0.0000,0.2000,0.3193
247.2500,1.2913,0.0000,0.0000,0.2000,0.3721
246.8500,1.2913,0.0000,0.0000,0.2000,0.7540
283.7000,1.2913,0.0000,0.0000,0.2000,0.0777
283.9000,1.2913,0.0000,0.0000,0.2000,0.7172
280.4000,1.2913,0.0000,0.0000,0.2000,4.7233
245.1500,1.2913,0.0000,0.0000,0.2000,0.5782
282.4000,1.2913,0.0000,0.0000,0.2000,-0.2216
274.0000,1.2913,0.0000,0.0000,0.2000,1.0010
277.7500,1.2913,0.0000,0.0000,0.2000,-0.4666
245.1500,1.2913,0.0000,0.0000,0.2500,2.2334
267.0500,1.2913,0.0000,0.0000,0.1500,1.1640
265.7000,1.2913,0.0000,0.0000,0.2000,1.1801
279.9000,1.2913,0.0000,0.0000,0.2000,0.2263
277.2500,1.2913,0.0000,0.0000,0.2000,0.4349
279.7500,1.2913,0.0000,0.0000,0.2000,0.5966
285.8000,1.2913,0.0000,0.0000,0.2500,-0.5481
276.5000,1.2913,0.0000,0.0000,0.2500,-0.1425
268.3500,1.2913,0.0000,0.0000,0.2000,0.9402
279.0500,1.2913,0.0000,0.0000,0.2000,0.4764
286.6000,1.2913,0.0000,0.0000,0.2000,4.7416
278.9000,1.2913,0.0000,0.0000,0.2000,1.3107
274.3500,1.2913,0.0000,0.0000,0.2000,0.5668
286.2500,1.2913,0.0000,0.0000,0.2000,0.6397
278.3500,1.2913,0.0000,0.0000,0.2000,0.1478
279.2000,1.2913,0.0000,0.0000,0.2000,6.1129
293.1000,1.2913,0.0000,0.0000,0.2000,0.6558
278.2000,1.2913,0.0000,0.0000,0.2000,1.8109
277.6000,1.2913,0.0000,0.0000,0.2000,0.7710
299.4500,1.2913,0.0000,0.0000,0.2000,0.8232
284.7500,1.2913,0.0000,0.0000,0.2000,0.4921
283.4500,1.2913,0.0000,0.0000,0.2000,1.8695
276.7000,1.2913,0.0000,0.0000,0.2000,-0.2998
291.1000,1.2913,0.0000,0.0000,0.2000,0.3771
276.6000,1.2913,0.0000,0.0000,0.2000,-0.0713
292.5000,1.2913,0.0000,0.0000,0.2500,-0.0813
263.7500,1.2913,0.0000,0.0000,0.2000,2.1412
276.4500,1.2913,0.0000,0.0000,0.2000,0.8431
278.9500,1.2913,0.0000,0.0000,0.2000,2.6283
291.6000,1.2913,0.0000,0.0000,0.2000,0.8797
275.5500,1.2913,0.0000,0.0000,0.2000,0.2392
288.0500,1.2913,0.0000,0.0000,0.2500,1.5575
278.4500,1.2913,0.0000,0.0000,0.1500,0.0424
275.4000,1.2913,0.0000,0.0000,0.2000,2.7364
289.4500,1.2913,0.0000,0.0000,0.2000,2.4070
274.7500,1.2913,0.0000,0.0000,0.2000,-0.0163
288.7500,1.2913,0.0000,0.0000,0.2000,0.6808
274.5000,1.2913,0.0000,1.0000,0.2000,2.5943
273.9000,1.2913,0.0000,0.0000,0.2000,0.7692
282.1500,1.2913,0.0000,0.0000,0.2000,-0.5918
303.3000,1.2913,0.0000,1.0000,0.2000,0.6021
256.6500,1.2913,0.0000,0.0000,0.2000,1.1351
262.8000,1.2913,0.0000,0.0000,0.2000,2.1844
269.0500,1.2913,0.0000,0.0000,0.1500,0.3639
280.5500,1.2913,0.0000,0.0000,0.2000,1.1107
288.9000,1.2913,0.0000,0.0000,0.2000,2.8002
251.0000,1.2913,0.0000,0.0000,0.2000,0.6943
267.7000,1.2913,0.0000,0.0000,0.2000,1.6239
281.1500,1.2913,0.0000,0.0000,0.2500,1.2908
282.1500,1.2913,0.0000,0.0000,0.2000,2.5606
267.5000,1.2913,0.0000,0.0000,0.2000,0.7198
270.5000,1.2913,0.0000,0.0000,0.2000,0.5478
267.2000,1.2913,0.0000,0.0000,0.1500,0.8179
272.4000,1.2913,0.0000,0.0000,0.2000,0.0805
269.7000,1.2913,0.0000,0.0000,0.3000,4.2400
274.3000,1.2913,0.0000,0.0000,0.2000,1.6840
274.0500,1.2913,0.0000,0.0000,0.2000,0.6793
273.8000,1.2913,0.0000,0.0000,0.2000,0.0629
285.0000,1.2913,0.0000,0.0000,0.2000,0.9834
289.8000,1.2913,0.0000,0.0000,0.2500,-0.1466
283.0000,1.2913,0.0000,0.0000,0.1500,0.7850
279.4500,1.2913,0.0000,0.0000,0.2000,0.5881
289.7000,1.2913,0.0000,0.0000,0.2000,0.2233
265.8500,1.2913,0.0000,0.0000,0.2000,0.0438
279.4000,1.2913,0.0000,0.0000,0.2000,2.7974
269.9000,1.2913,0.0000,0.0000,0.2000,1.4402
282.2500,1.2913,0.0000,0.0000,0.1500,0.7607
274.9500,1.2913,0.0000,0.0000,0.2000,0.2560
296.3000,1.2913,0.0000,0.0000,0.2000,-0.0358
268.5000,1.2913,0.0000,0.0000,0.2000,3.2018
269.6500,1.2913,0.0000,0.0000,0.2000,0.9904
296.3500,1.2913,0.0000,0.0000,0.2000,0.6987
290.0500,1.2913,0.0000,0.0000,0.2500,1.5161
268.9500,1.2913,0.0000,0.0000,0.2000,-0.0070
284.8000,1.2913,0.0000,0.0000,0.2000,0.1365
276.2500,1.2913,0.0000,0.0000,0.2000,1.3237
