time_interval,rate_in,limit,truck,t_react,automax
332.1500,1.9081,0.0000,0.0000,0.2500,0.8055
358.2000,1.9081,0.0000,0.0000,0.2000,0.7491
294.2000,1.9081,0.0000,0.0000,0.2000,0.1963
294.3000,1.9081,0.0000,0.0000,0.2000,0.6586
294.4000,1.9081,0.0000,0.0000,0.2000,1.5389
352.7500,1.9081,0.0000,0.0000,0.2000,3.3156
342.3500,1.9081,0.0000,0.0000,0.2500,1.5491
508.0000,1.9081,0.0000,0.0000,0.2000,0.3147
294.5000,1.9081,0.0000,0.0000,0.2000,0.2729
351.0000,1.9081,0.0000,0.0000,0.2000,0.9941
507.4500,1.9081,0.0000,0.0000,0.2000,1.8211
341.1000,1.9081,0.0000,0.0000,0.2000,1.2871
349.6500,1.9081,0.0000,0.0000,0.2000,1.1911
294.6500,1.9081,0.0000,0.0000,0.2000,1.1636
340.2500,1.9081,0.0000,0.0000,0.2000,0.6404
512.1500,1.9081,0.0000,0.0000,0.2000,1.1198
294.8000,1.9081,0.0000,0.0000,0.2000,0.4841
550.5000,1.9081,0.0000,0.0000,0.2000,3.2982
553.4000,1.9081,0.0000,0.0000,0.2000,0.2286
294.9500,1.9081,0.0000,0.0000,0.1500,-0.7656
334.4500,1.9081,0.0000,0.0000,0.2000,1.1764
351.0500,1.9081,0.0000,0.0000,0.2500,1.2151
554.8500,1.9081,0.0000,0.0000,0.2000,1.9300
556.1000,1.9081,0.0000,0.0000,0.2000,0.3548
295.0500,1.9081,0.0000,0.0000,0.2000,1.1638
295.2500,1.9081,0.0000,0.0000,0.2000,0.7072
555.5000,1.9081,0.0000,0.0000,0.2000,-0.5687
346.4000,1.9081,0.0000,0.0000,0.1500,2.8894
295.4000,1.9081,0.0000,0.0000,0.2000,0.0620
556.0500,1.9081,0.0000,0.0000,0.2000,1.4036
346.9000,1.9081,0.0000,0.0000,0.2000,1.0399
556.1000,1.9081,0.0000,0.0000,0.2000,-0.1600
295.6000,1.9081,0.0000,0.0000,0.2000,-0.1745
295.8000,1.9081,0.0000,0.0000,0.2000,0.0104
353.6000,1.9081,0.0000,0.0000,0.2000,1.7783
295.9500,1.9081,0.0000,0.0000,0.2000,1.9749
567.9500,1.9081,0.0000,0.0000,0.2000,0.7147
296.1500,1.9081,0.0000,0.0000,0.2000,0.3961
296.4000,1.9081,0.0000,0.0000,0.2000,2.3662
349.8500,1.9081,0.0000,0.0000,0.2000,0.8233
567.9000,1.9081,0.0000,0.0000,0.2000,0.3958
296.6000,1.9081,0.0000,0.0000,0.2500,-0.0504
296.8000,1.9081,0.0000,0.0000,0.1500,-0.0121
360.6000,1.9081,0.0000,0.0000,0.2000,-0.2131
567.1500,1.9081,0.0000,0.0000,0.1500,0.9590
297.0000,1.9081,0.0000,0.0000,0.2000,1.2121
594.3000,1.9081,0.0000,0.0000,0.2000,1.8355
594.4500,1.9081,0.0000,0.0000,0.2000,1.6919
297.3000,1.9081,0.0000,0.0000,0.2000,0.8902
347.2500,1.9081,0.0000,0.0000,0.2000,-0.2327
594.5500,1.9081,0.0000,0.0000,0.2500,1.1727
