time_interval,rate_in,limit,truck,t_react,automax
261.4000,0.9993,0.0000,1.0000,0.2000,4.2609
264.9500,0.9993,0.0000,1.0000,0.2000,-0.0522
247.6500,0.9993,0.0000,0.0000,0.2000,1.9144
340.1000,0.9993,0.0000,1.0000,0.2000,1.2557
256.4000,0.9993,0.0000,0.0000,0.2000,0.9264
244.8500,0.9993,0.0000,0.0000,0.2000,0.4229
256.9500,0.9993,0.0000,0.0000,0.2500,1.9201
236.9500,0.9993,0.0000,0.0000,0.2000,1.3399
240.7500,0.9993,0.0000,0.0000,0.2000,1.2620
259.3000,0.9993,0.0000,0.0000,0.2500,2.5931
260.8500,0.9993,0.0000,0.0000,0.2000,1.2265
244.7500,0.9993,0.0000,0.0000,0.2000,0.8550
259.7000,0.9993,0.0000,0.0000,0.2000,0.7337
244.8500,0.9993,0.0000,0.0000,0.2000,0.1967
249.1500,0.9993,0.0000,0.0000,0.2000,0.5626
253.3000,0.9993,0.0000,0.0000,0.2000,2.9600
249.5000,0.9993,0.0000,0.0000,0.2500,-0.1920
259.3500,0.9993,0.0000,0.0000,0.2000,1.0726
252.9000,0.9993,0.0000,0.0000,0.2000,0.0502
258.5500,0.9993,0.0000,0.0000,0.2000,1.2096
240.2500,0.9993,0.0000,0.0000,0.2000,0.1610
266.1000,0.9993,0.0000,0.0000,0.2000,0.3270
255.4500,0.9993,0.0000,0.0000,0.2000,0.9387
245.0500,0.9993,0.0000,0.0000,0.2000,0.1526
251.8000,0.9993,0.0000,0.0000,0.2000,3.9422
238.7500,0.9993,0.0000,0.0000,0.2000,0.2638
250.7500,0.9993,0.0000,0.0000,0.2000,0.1631
253.0000,0.9993,0.0000,0.0000,0.2000,1.6960
243.2000,0.9993,0.0000,0.0000,0.2000,0.5590
261.4000,0.9993,0.0000,0.0000,0.2000,2.2499
255.8500,0.9993,0.0000,0.0000,0.2000,1.0577
327.4000,0.9993,0.0000,0.0000,0.2000,1.5583
236.3000,0.9993,0.0000,0.0000,0.2000,3.8881
255.7000,0.9993,0.0000,0.0000,0.2000,2.4064
261.8000,0.9993,0.0000,0.0000,0.1500,-0.4237
259.1000,0.9993,0.0000,0.0000,0.2000,2.5290
263.0000,0.9993,0.0000,0.0000,0.2000,1.0806
251.0000,0.9993,0.0000,0.0000,0.2000,0.8579
236.5000,0.9993,0.0000,0.0000,0.2000,3.9089
263.8500,0.9993,0.0000,0.0000,0.2000,0.1119
251.9000,0.9993,0.0000,0.0000,0.2000,1.7143
241.2000,0.9993,0.0000,0.0000,0.2000,1.1209
254.6000,0.9993,0.0000,0.0000,0.2000,0.0883
253.9000,0.9993,0.0000,0.0000,0.2000,0.9177
322.3000,0.9993,0.0000,0.0000,0.2500,-0.1043
259.1500,0.9993,0.0000,0.0000,0.2000,5.1351
254.8000,0.9993,0.0000,0.0000,0.3000,0.5343
267.7000,0.9993,0.0000,0.0000,0.2000,0.7599
250.4000,0.9993,0.0000,0.0000,0.2000,0.0909
269.8500,0.9993,0.0000,0.0000,0.2000,-0.0087
250.3500,0.9993,0.0000,0.0000,0.2000,2.1731
256.8500,0.9993,0.0000,0.0000,0.2000,0.2570
250.3500,0.9993,0.0000,0.0000,0.2000,0.5370
264.0500,0.9993,0.0000,0.0000,0.2000,2.1313
249.6500,0.9993,0.0000,0.0000,0.2000,-0.0303
256.2000,0.9993,0.0000,0.0000,0.2000,1.1495
264.2500,0.9993,0.0000,0.0000,0.2000,3.6840
249.1000,0.9993,0.0000,0.0000,0.2000,0.8485
247.8000,0.9993,0.0000,0.0000,0.2000,2.6845
249.9500,0.9993,0.0000,0.0000,0.2000,2.8655
261.0000,0.9993,0.0000,0.0000,0.2000,1.4295
247.3500,0.9993,0.0000,0.0000,0.2000,1.5574
249.3500,0.9993,0.0000,0.0000,0.2000,0.7844
247.3000,0.9993,0.0000,0.0000,0.2000,1.6675
274.4500,0.9993,0.0000,0.0000,0.1500,2.8708
245.8500,0.9993,0.0000,0.0000,0.2000,0.0295
258.4000,0.9993,0.0000,0.0000,0.2000,1.4111
245.8500,0.9993,0.0000,0.0000,0.2500,0.7523
265.4000,0.9993,0.0000,0.0000,0.2000,1.0072
267.4000,0.9993,0.0000,0.0000,0.2000,0.9055
251.8500,0.9993,0.0000,0.0000,0.2000,-0.2812
244.0000,0.9993,0.0000,0.0000,0.2000,0.9193
295.6000,0.9993,0.0000,0.0000,0.2000,0.1172
243.2000,0.9993,0.0000,0.0000,0.2000,-0.0756
252.2500,0.9993,0.0000,0.0000,0.2000,1.4723
245.3000,0.9993,0.0000,0.0000,0.2000,0.3978
258.2500,0.9993,0.0000,0.0000,0.1500,0.3202
247.1500,0.9993,0.0000,1.0000,0.2000,0.7211
253.6500,0.9993,0.0000,0.0000,0.2000,2.4175
241.9500,0.9993,0.0000,0.0000,0.2000,0.6506
242.1500,0.9993,0.0000,0.0000,0.2000,0.6123
248.5000,0.9993,0.0000,0.0000,0.2000,0.8267
245.9000,0.9993,0.0000,0.0000,0.2000,1.8082
283.2000,0.9993,0.0000,0.0000,0.2000,-0.3117
252.9500,0.9993,0.0000,0.0000,0.2000,-0.2458
251.2000,0.9993,0.0000,0.0000,0.2000,-0.2301
284.0500,0.9993,0.0000,0.0000,0.2000,0.5842
249.7000,0.9993,0.0000,0.0000,0.2000,0.7241
303.1500,0.9993,0.0000,0.0000,0.2000,1.7663
238.9000,0.9993,0.0000,0.0000,0.2000,1.7750
280.1000,0.9993,0.0000,0.0000,0.2000,0.5145
248.0500,0.9993,0.0000,0.0000,0.2000,1.0450
276.8500,0.9993,0.0000,0.0000,0.2000,0.2568
247.6500,0.9993,0.0000,0.0000,0.2000,0.5905
298.1500,0.9993,0.0000,0.0000,0.2500,1.8569
268.2000,0.9993,0.0000,0.0000,0.2500,2.3562
247.7500,0.9993,0.0000,0.0000,0.2000,4.7338
274.5000,0.9993,0.0000,0.0000,0.2000,0.3273
275.2000,0.9993,0.0000,0.0000,0.2000,1.1943
295.3000,0.9993,0.0000,0.0000,0.2000,1.8797
246.5000,0.9993,0.0000,0.0000,0.2000,0.1939
247.2000,0.9993,0.0000,0.0000,0.2000,0.5099
274.0500,0.9993,0.0000,0.0000,0.2000,0.5978
293.1000,0.9993,0.0000,0.0000,0.2000,4.1215
246.2000,0.9993,0.0000,0.0000,0.2000,0.0874
272.0000,0.9993,0.0000,0.0000,0.2500,0.1160
281.0000,0.9993,0.0000,0.0000,0.2500,3.1047
245.0000,0.9993,0.0000,0.0000,0.2000,0.0739
268.2000,0.9993,0.0000,0.0000,0.1500,0.0886
244.1000,0.9993,0.0000,0.0000,0.2000,0.9416
287.6000,0.9993,0.0000,0.0000,0.2000,0.7978
276.8500,0.9993,0.0000,0.0000,0.2000,2.2662
243.5000,0.9993,0.0000,0.0000,0.2500,0.9844
266.5500,0.9993,0.0000,0.0000,0.2000,0.7558
267.2500,0.9993,0.0000,0.0000,0.2500,0.3588
242.3000,0.9993,0.0000,0.0000,0.2000,1.5558
263.9000,0.9993,0.0000,0.0000,0.2000,0.2463
242.1000,0.9993,0.0000,0.0000,0.2000,0.7006
244.2000,0.9993,0.0000,0.0000,0.2500,0.7230
241.9000,0.9993,0.0000,0.0000,0.2500,1.8819
243.5000,0.9993,0.0000,0.0000,0.2000,0.1666
264.0000,0.9993,0.0000,0.0000,0.2000,-0.1512
255.6500,0.9993,0.0000,0.0000,0.1500,4.1057
243.5000,0.9993,0.0000,0.0000,0.2000,0.9776
259.2500,0.9993,0.0000,0.0000,0.2000,4.5418
243.5000,0.9993,0.0000,0.0000,0.2000,1.0977
261.1000,0.9993,0.0000,0.0000,0.2000,0.4936
243.0500,0.9993,0.0000,0.0000,0.2000,0.3667
255.8500,0.9993,0.0000,0.0000,0.2500,2.3815
242.6500,0.9993,0.0000,0.0000,0.2000,0.1502
253.7000,0.9993,0.0000,0.0000,0.2000,1.4677
251.1000,0.9993,0.0000,0.0000,0.2000,1.8899
267.0000,0.9993,0.0000,0.0000,0.2000,-0.3806
239.8500,0.9993,0.0000,0.0000,0.2000,0.3611
324.6500,0.9993,0.0000,1.0000,0.2000,0.2681
266.2000,0.9993,0.0000,0.0000,0.2000,0.3606
253.3000,0.9993,0.0000,0.0000,0.2500,1.3837
254.0000,0.9993,0.0000,0.0000,0.1500,0.1448
251.0500,0.9993,0.0000,0.0000,0.2000,1.0212
251.5500,0.9993,0.0000,0.0000,0.2000,2.1934
263.6000,0.9993,0.0000,0.0000,0.2000,2.6548
252.1500,0.9993,0.0000,0.0000,0.2000,-0.0899
262.1000,0.9993,0.0000,0.0000,0.2000,-0.4807
268.4000,0.9993,0.0000,0.0000,0.2000,-0.8758
247.9500,0.9993,0.0000,0.0000,0.2000,0.8858
250.8500,0.9993,0.0000,0.0000,0.2000,0.4148
260.2500,0.9993,0.0000,0.0000,0.2000,3.0962
262.1500,0.9993,0.0000,0.0000,0.2000,-0.2895
260.1000,0.9993,0.0000,0.0000,0.1500,1.3128
260.4000,0.9993,0.0000,0.0000,0.2000,-0.4501
251.5500,0.9993,0.0000,0.0000,0.2000,-0.4518
293.5000,0.9993,0.0000,0.0000,0.1500,1.6000
244.5000,0.9993,0.0000,0.0000,0.2000,0.7180
261.5000,0.9993,0.0000,0.0000,0.2000,0.6971
264.9500,0.9993,0.0000,0.0000,0.2000,0.3125
243.7000,0.9993,0.0000,0.0000,0.2500,0.8535
259.8500,0.9993,0.0000,0.0000,0.2000,-0.0488
254.8500,0.9993,0.0000,0.0000,0.2500,0.8930
245.9000,0.9993,0.0000,0.0000,0.2000,0.8892
242.7500,0.9993,0.0000,0.0000,0.2500,0.8477
257.8000,0.9993,0.0000,0.0000,0.2000,1.8810
244.0500,0.9993,0.0000,0.0000,0.2000,0.9859
301.1000,0.9993,0.0000,0.0000,0.1500,0.2633
244.9000,0.9993,0.0000,0.0000,0.2000,1.5302
253.9000,0.9993,0.0000,0.0000,0.2000,1.8053
241.5500,0.9993,0.0000,0.0000,0.1500,1.2493
245.9000,0.9993,0.0000,0.0000,0.2000,0.1401
241.0500,0.9993,0.0000,0.0000,0.2000,0.2601
253.0000,0.9993,0.0000,0.0000,0.2000,0.0034
256.6500,0.9993,0.0000,0.0000,0.2000,0.8549
232.1000,0.9993,0.0000,0.0000,0.2000,3.4165
241.7000,0.9993,0.0000,0.0000,0.2000,0.3501
242.2500,0.9993,0.0000,0.0000,0.2000,0.4114
250.0500,0.9993,0.0000,0.0000,0.2000,2.8016
242.9000,0.9993,0.0000,0.0000,0.2000,2.3280
241.1500,0.9993,0.0000,0.0000,0.2000,0.3274
251.0000,0.9993,0.0000,0.0000,0.2000,1.1802
271.6500,0.9993,0.0000,0.0000,0.2000,0.3539
242.1500,0.9993,0.0000,0.0000,0.2000,-0.2629
246.0000,0.9993,0.0000,0.0000,0.2000,2.9100
254.0000,0.9993,0.0000,0.0000,0.2500,1.4388
247.8000,0.9993,0.0000,0.0000,0.2000,0.2490
241.3000,0.9993,0.0000,0.0000,0.1500,1.2036
240.9500,0.9993,0.0000,0.0000,0.2500,1.0754
242.0000,0.9993,0.0000,0.0000,0.2000,3.2299
244.6000,0.9993,0.0000,0.0000,0.2000,1.0901
243.8500,0.9993,0.0000,0.0000,0.2000,3.2352
245.0000,0.9993,0.0000,0.0000,0.2000,1.4583
237.8000,0.9993,0.0000,0.0000,0.2000,3.4037
280.2500,0.9993,0.0000,0.0000,0.2000,0.6819
286.2500,0.9993,0.0000,0.0000,0.2000,1.2804
246.8500,0.9993,0.0000,0.0000,0.2000,-0.1854
240.8500,0.9993,0.0000,0.0000,0.2000,1.3924
271.9000,0.9993,0.0000,0.0000,0.2000,0.9953
257.9000,0.9993,0.0000,0.0000,0.2000,0.5094
239.6500,0.9993,0.0000,0.0000,0.2000,1.2002
253.2500,0.9993,0.0000,0.0000,0.2000,1.7168
242.1500,0.9993,0.0000,0.0000,0.2000,0.0511
272.7500,0.9993,0.0000,0.0000,0.2000,0.3841
254.2500,0.9993,0.0000,0.0000,0.2000,0.5442
239.1500,0.9993,0.0000,0.0000,0.2000,1.1322
267.1500,0.9993,0.0000,0.0000,0.2000,-0.0301
272.4000,0.9993,0.0000,0.0000,0.2000,1.0143
239.1500,0.9993,0.0000,0.0000,0.1500,0.3239
251.3500,0.9993,0.0000,0.0000,0.2000,0.0597
266.5500,0.9993,0.0000,0.0000,0.2000,0.0048
238.2000,0.9993,0.0000,0.0000,0.1500,2.1699
266.4000,0.9993,0.0000,0.0000,0.2500,0.3913
249.3000,0.9993,0.0000,0.0000,0.2000,0.2513
266.4500,0.9993,0.0000,0.0000,0.2000,2.6879
269.2000,0.9993,0.0000,0.0000,0.2000,2.9028
259.8000,0.9993,0.0000,0.0000,0.2000,0.5470
255.9000,0.9993,0.0000,0.0000,0.2000,0.0205
246.0500,0.9993,0.0000,0.0000,0.2000,1.1010
261.2000,0.9993,0.0000,0.0000,0.2000,1.6937
245.8500,0.9993,0.0000,0.0000,0.2000,0.4010
253.6000,0.9993,0.0000,0.0000,0.2000,-0.1695
245.5500,0.9993,0.0000,0.0000,0.2000,1.6619
