time_interval,rate_in,limit,truck,t_react,automax
262.3000,1.7860,0.0000,0.0000,0.2000,1.5249
421.1000,1.7860,0.0000,0.0000,0.2000,0.2067
263.4500,1.7860,0.0000,0.0000,0.2000,0.3754
421.5500,1.7860,0.0000,0.0000,0.2000,-0.5149
442.6500,1.7860,0.0000,1.0000,0.2500,3.7176
316.7000,1.7860,0.0000,0.0000,0.2000,0.0576
263.7500,1.7860,0.0000,0.0000,0.2000,0.0939
324.2000,1.7860,0.0000,0.0000,0.2000,0.9613
264.1500,1.7860,0.0000,0.0000,0.2000,-0.1334
313.0500,1.7860,0.0000,0.0000,0.2000,0.8327
442.5500,1.7860,0.0000,0.0000,0.2000,0.8863
315.2500,1.7860,0.0000,0.0000,0.2000,2.9791
264.4000,1.7860,0.0000,0.0000,0.2000,5.5453
325.1000,1.7860,0.0000,0.0000,0.2000,0.9944
264.7000,1.7860,0.0000,0.0000,0.2000,0.7600
264.9500,1.7860,0.0000,0.0000,0.2000,0.9755
325.5500,1.7860,0.0000,0.0000,0.2000,0.1657
265.2500,1.7860,0.0000,0.0000,0.2000,0.7431
441.0000,1.7860,0.0000,0.0000,0.2000,0.5454
265.4500,1.7860,0.0000,0.0000,0.2000,1.3353
324.0500,1.7860,0.0000,0.0000,0.2000,1.5851
265.7500,1.7860,0.0000,0.0000,0.2500,0.2986
449.1500,1.7860,0.0000,0.0000,0.2000,-0.2666
448.2500,1.7860,0.0000,0.0000,0.2000,0.5868
423.4000,1.7860,0.0000,0.0000,0.1500,1.4348
266.0500,1.7860,0.0000,0.0000,0.2500,0.1522
266.2500,1.7860,0.0000,0.0000,0.2000,0.5494
449.1000,1.7860,0.0000,0.0000,0.2000,1.4050
429.0500,1.7860,0.0000,0.0000,0.1500,0.0260
266.5000,1.7860,0.0000,0.0000,0.2000,0.7336
321.6000,1.7860,0.0000,1.0000,0.2500,1.2751
317.0500,1.7860,0.0000,0.0000,0.2500,0.2483
266.7000,1.7860,0.0000,0.0000,0.2000,5.1065
266.9500,1.7860,0.0000,0.0000,0.2000,0.2262
267.1000,1.7860,0.0000,0.0000,0.2000,1.0227
307.6000,1.7860,0.0000,0.0000,0.2000,-0.0708
449.4000,1.7860,0.0000,0.0000,0.2000,0.3585
449.2500,1.7860,0.0000,0.0000,0.2500,0.4545
449.5500,1.7860,0.0000,0.0000,0.2000,-0.0969
328.6000,1.7860,0.0000,0.0000,0.2000,0.5479
267.3500,1.7860,0.0000,0.0000,0.2000,-0.0212
316.7000,1.7860,0.0000,0.0000,0.2000,0.3814
267.9500,1.7860,0.0000,0.0000,0.2000,0.9415
329.6000,1.7860,0.0000,0.0000,0.2000,0.3664
277.3500,1.7860,0.0000,0.0000,0.2000,0.5033
329.3500,1.7860,0.0000,0.0000,0.2000,0.4855
443.8000,1.7860,0.0000,0.0000,0.2000,0.0389
277.5500,1.7860,0.0000,0.0000,0.2500,2.2609
329.2000,1.7860,0.0000,0.0000,0.2000,0.3189
275.3500,1.7860,0.0000,0.0000,0.2000,0.2306
276.2500,1.7860,0.0000,0.0000,0.2000,0.4031
443.2500,1.7860,0.0000,0.0000,0.2000,1.7749
338.4000,1.7860,0.0000,0.0000,0.2000,1.4712
276.5500,1.7860,0.0000,0.0000,0.2000,-0.1444
442.9500,1.7860,0.0000,0.0000,0.1500,1.6691
442.8500,1.7860,0.0000,0.0000,0.2000,0.7619
313.2000,1.7860,0.0000,0.0000,0.2000,3.8645
444.1000,1.7860,0.0000,0.0000,0.2000,0.7005
277.0000,1.7860,0.0000,1.0000,0.2000,3.0925
274.0000,1.7860,0.0000,0.0000,0.2000,1.5192
445.4000,1.7860,0.0000,0.0000,0.2500,0.8553
317.7500,1.7860,0.0000,0.0000,0.2500,1.4743
445.9500,1.7860,0.0000,0.0000,0.2000,2.4779
275.8000,1.7860,0.0000,0.0000,0.3000,1.0709
323.6500,1.7860,0.0000,0.0000,0.2000,1.3705
464.1000,1.7860,0.0000,0.0000,0.2000,3.3534
276.0500,1.7860,0.0000,0.0000,0.2000,0.3658
276.3000,1.7860,0.0000,0.0000,0.1500,1.0482
465.5000,1.7860,0.0000,0.0000,0.1500,-0.3311
328.3000,1.7860,0.0000,0.0000,0.2000,1.6552
323.1500,1.7860,0.0000,0.0000,0.2000,0.9502
464.0000,1.7860,0.0000,0.0000,0.2000,1.8182
276.5500,1.7860,0.0000,0.0000,0.2000,1.1652
464.9500,1.7860,0.0000,0.0000,0.2000,2.6128
466.1500,1.7860,0.0000,0.0000,0.2000,0.4377
273.8000,1.7860,0.0000,0.0000,0.2000,-0.0505
335.6500,1.7860,0.0000,0.0000,0.2000,1.0209
275.3000,1.7860,0.0000,0.0000,0.2500,0.0610
473.5500,1.7860,0.0000,0.0000,0.2000,1.2009
275.5500,1.7860,0.0000,0.0000,0.2000,1.1357
331.8500,1.7860,0.0000,0.0000,0.2000,-0.2223
481.7500,1.7860,0.0000,0.0000,0.2000,2.4987
330.9500,1.7860,0.0000,0.0000,0.2500,0.8278
274.4000,1.7860,0.0000,0.0000,0.2000,0.8205
332.2000,1.7860,0.0000,0.0000,0.2000,0.4693
481.4500,1.7860,0.0000,0.0000,0.2000,0.3357
274.6000,1.7860,0.0000,0.0000,0.2000,1.0026
320.4000,1.7860,0.0000,0.0000,0.2000,-0.0220
490.1000,1.7860,0.0000,0.0000,0.1500,1.2150
274.9500,1.7860,0.0000,0.0000,0.2000,2.1898
275.3000,1.7860,0.0000,0.0000,0.2000,2.7392
331.8500,1.7860,0.0000,0.0000,0.1500,0.3056
487.1000,1.7860,0.0000,0.0000,0.2000,0.8420
333.4500,1.7860,0.0000,0.0000,0.2000,-0.2120
332.5500,1.7860,0.0000,0.0000,0.1500,0.6624
275.6000,1.7860,0.0000,0.0000,0.2500,2.1746
